Dado 1;Dado 2;Dado 3;;;;;;;;;;;
19.305613;14.799163;7.4673266;;;;;;;;;;;
22.25129;15.139876;7.1361346;;;;;;;;;;;
25.69374;15.308546;7.104749;;;;;;;;;;;
29.131077;15.476965;7.0734105;;;;;;;;;;;
32.682106;15.547092;7.0783052;;;;;;;;;;;
36.227863;15.617115;7.083193;;;;;;;;;;;
39.768353;15.687034;7.088073;;;;;;;;;;;
43.85845;15.718839;6.935995;;;;;;;;;;;
47.94248;15.750596;6.784143;;;;;;;;;;;
52.181736;15.708389;6.7576284;;;;;;;;;;;
56.414696;15.666245;6.731153;;;;;;;;;;;
60.768303;15.65993;6.778634;;;;;;;;;;;
65.11545;15.653625;6.8260446;;;;;;;;;;;
69.62795;15.81017;6.917567;;;;;;;;;;;
74.13375;15.966483;7.0089526;;;;;;;;;;;
77.45664;16.05594;6.802291;;;;;;;;;;;
80.7746;16.145266;6.5959363;;;;;;;;;;;
84.08762;16.234457;6.389888;;;;;;;;;;;
86.425415;16.21706;6.4862657;;;;;;;;;;;
88.759735;16.199688;6.5825;;;;;;;;;;;
91.33421;16.245317;7.002031;;;;;;;;;;;
93.90487;16.29088;7.4209385;;;;;;;;;;;
94.89953;16.354889;7.407364;;;;;;;;;;;
95.892715;16.418804;7.3938093;;;;;;;;;;;
95.95239;16.43802;7.673699;;;;;;;;;;;
96.011986;16.457209;7.9531727;;;;;;;;;;;
96.07149;16.476368;8.232231;;;;;;;;;;;
94.83757;16.212875;8.449301;;;;;;;;;;;
93.605484;15.949774;8.666048;;;;;;;;;;;
91.891335;16.498747;8.81557;;;;;;;;;;;
90.179726;17.046906;8.9648695;;;;;;;;;;;
87.87722;17.490175;9.238919;;;;;;;;;;;
85.57813;17.932789;9.512562;;;;;;;;;;;
83.28246;18.374744;9.785798;;;;;;;;;;;
79.88551;18.621363;9.93015;;;;;;;;;;;
76.493614;18.867615;10.074287;;;;;;;;;;;
73.24308;19.568504;9.997722;;;;;;;;;;;
69.99738;20.268353;9.92127;;;;;;;;;;;
66.16405;21.066324;9.75713;;;;;;;;;;;
62.336403;21.863111;9.593233;;;;;;;;;;;
57.661102;23.188337;9.794957;;;;;;;;;;;
52.992744;24.511595;9.996381;;;;;;;;;;;
48.33132;25.832888;10.197506;;;;;;;;;;;
43.67682;25.893944;9.695068;;;;;;;;;;;
39.029232;25.954912;9.1933775;;;;;;;;;;;
34.388546;25.46106;8.843351;;;;;;;;;;;
29.754753;24.967941;8.493846;;;;;;;;;;;
25.127844;24.475555;8.144859;;;;;;;;;;;
20.507807;23.753033;7.5756216;;;;;;;;;;;
15.894632;23.031584;7.00723;;;;;;;;;;;
11.28831;22.929472;7.4927535;;;;;;;;;;;
6.688829;22.82751;7.977556;;;;;;;;;;;
2.2243774;22.516293;7.3990297;;;;;;;;;;;
-2.2334433;22.205538;6.821362;;;;;;;;;;;
-6.684643;21.895245;6.244552;;;;;;;;;;;
-9.255919;21.550207;6.3999147;;;;;;;;;;;
-11.823377;21.20568;6.5550466;;;;;;;;;;;
-14.671047;20.843292;6.1615314;;;;;;;;;;;
-17.514488;20.481443;5.7686005;;;;;;;;;;;
-18.81323;20.293072;5.9595947;;;;;;;;;;;
-20.110044;20.10498;6.1503053;;;;;;;;;;;
-20.275698;20.170057;6.022062;;;;;;;;;;;
-20.441107;20.235039;5.894009;;;;;;;;;;;
-20.807684;19.960354;5.3556056;;;;;;;;;;;
-21.173716;19.686075;4.8180017;;;;;;;;;;;
-21.539204;19.412205;4.281196;;;;;;;;;;;
-21.8127;18.909557;3.2680237;;;;;;;;;;;
-22.08579;18.407654;2.2563562;;;;;;;;;;;
-22.49565;18.07972;1.2355316;;;;;;;;;;;
-22.904898;17.75227;0.21622324;;;;;;;;;;;
-23.10315;17.58324;-0.3632589;;;;;;;;;;;
-23.301107;17.414463;-0.94188035;;;;;;;;;;;
-23.49877;17.245935;-1.5196422;;;;;;;;;;;
-23.204668;16.934313;-2.2023022;;;;;;;;;;;
-22.911003;16.623154;-2.8839483;;;;;;;;;;;
-22.467134;16.807993;-3.133002;;;;;;;;;;;
-22.023926;16.99256;-3.3816857;;;;;;;;;;;
-21.579973;17.017515;-3.2215633;;;;;;;;;;;
-21.13668;17.042435;-3.0616786;;;;;;;;;;;
-20.694046;17.067316;-2.9020312;;;;;;;;;;;
-19.361279;17.044893;-2.5389636;;;;;;;;;;;
-18.03049;17.022505;-2.1764352;;;;;;;;;;;
-13.9182205;16.966206;-2.360337;;;;;;;;;;;
-9.812058;16.90999;-2.5439658;;;;;;;;;;;
-5.1882644;17.077713;-2.9034882;;;;;;;;;;;
-0.571338;17.245188;-3.2624764;;;;;;;;;;;
4.038731;17.951012;-3.6916227;;;;;;;;;;;
8.641953;18.655787;-4.120132;;;;;;;;;;;
13.2383375;19.359514;-4.548004;;;;;;;;;;;
17.440779;19.95546;-5.410047;;;;;;;;;;;
21.636978;20.55052;-6.270809;;;;;;;;;;;
25.498596;21.640234;-6.3449774;;;;;;;;;;;
29.354479;22.72833;-6.4190354;;;;;;;;;;;
33.20463;23.81481;-6.4929833;;;;;;;;;;;
37.32945;24.101316;-6.278868;;;;;;;;;;;
41.448135;24.387398;-6.0650706;;;;;;;;;;;
44.88872;24.33026;-5.861409;;;;;;;;;;;
48.324196;24.273205;-5.65805;;;;;;;;;;;
52.49304;23.908365;-5.309964;;;;;;;;;;;
56.655685;23.544067;-4.962395;;;;;;;;;;;
60.812153;23.18031;-4.6153426;;;;;;;;;;;
64.21276;23.023134;-4.394198;;;;;;;;;;;
67.608315;22.866194;-4.173382;;;;;;;;;;;
69.74953;22.49559;-3.769153;;;;;;;;;;;
71.88756;22.125536;-3.365525;;;;;;;;;;;
74.02242;21.756031;-2.9624963;;;;;;;;;;;
75.903046;21.542484;-2.7518015;;;;;;;;;;;
77.780876;21.329254;-2.5414195;;;;;;;;;;;
79.37175;21.219994;-2.4540775;;;;;;;;;;;
80.960266;21.110893;-2.3668652;;;;;;;;;;;
82.54642;21.001957;-2.2797823;;;;;;;;;;;
83.95152;20.903141;-2.3685746;;;;;;;;;;;
85.354546;20.804472;-2.457235;;;;;;;;;;;
85.67407;20.818296;-2.6436653;;;;;;;;;;;
85.993126;20.8321;-2.8298185;;;;;;;;;;;
86.31171;20.845884;-3.0156953;;;;;;;;;;;
86.0727;20.911404;-3.0899296;;;;;;;;;;;
85.834045;20.976826;-3.1640537;;;;;;;;;;;
84.81717;20.913532;-3.1533508;;;;;;;;;;;
83.801796;20.850332;-3.1426637;;;;;;;;;;;
82.78793;20.787226;-3.1319923;;;;;;;;;;;
80.36414;20.724495;-3.1918876;;;;;;;;;;;
77.943954;20.661856;-3.251694;;;;;;;;;;;
75.52736;20.59931;-3.3114116;;;;;;;;;;;
71.519035;20.675434;-3.4544952;;;;;;;;;;;
67.51667;20.751444;-3.597366;;;;;;;;;;;
62.833675;20.774605;-3.7807002;;;;;;;;;;;
58.157635;20.79773;-3.963762;;;;;;;;;;;
53.48854;20.820822;-4.146552;;;;;;;;;;;
48.82638;20.426184;-3.962852;;;;;;;;;;;
44.171143;20.032133;-3.7794247;;;;;;;;;;;
40.24404;19.896044;-3.6059477;;;;;;;;;;;
36.32277;19.760159;-3.4327285;;;;;;;;;;;
32.407322;19.624475;-3.2597666;;;;;;;;;;;
29.124231;19.170744;-3.2723448;;;;;;;;;;;
25.846016;18.717686;-3.2849045;;;;;;;;;;;
22.384722;18.883286;-3.2549465;;;;;;;;;;;
18.92857;19.04864;-3.2250333;;;;;;;;;;;
14.704157;18.589872;-3.105398;;;;;;;;;;;
10.486018;18.131784;-2.9859402;;;;;;;;;;;
6.274145;17.674377;-2.86666;;;;;;;;;;;
2.597308;17.178238;-2.6760244;;;;;;;;;;;
-1.0740681;16.682835;-2.485672;;;;;;;;;;;
-3.6351635;15.949445;-2.5424597;;;;;;;;;;;
-6.1924553;15.217144;-2.599163;;;;;;;;;;;
-8.878214;14.948789;-2.7357304;;;;;;;;;;;
-11.559983;14.680833;-2.8720949;;;;;;;;;;;
-14.237769;14.413275;-3.008257;;;;;;;;;;;
-15.262542;13.931516;-3.1617491;;;;;;;;;;;
-16.285791;13.450472;-3.3150134;;;;;;;;;;;
-17.092785;13.233972;-3.4116654;;;;;;;;;;;
-17.898579;13.017794;-3.508174;;;;;;;;;;;
