sep=,
Dado 1,Dado 2,Dado 3
-3.0460236,0.67848516,-0.35102248
-2.9931777,0.6820049,-0.35292998
-2.9405913,0.68550736,-0.35482812
-2.8983877,0.6810335,-0.35400832
-2.8563814,0.6765804,-0.35319236
-2.881899,0.67860484,-0.36138105
-2.907314,0.6806209,-0.36953673
-2.884805,0.6884623,-0.38056532
-2.8623974,0.6962683,-0.39154395
-2.8343894,0.68173516,-0.38455042
-2.8064516,0.66723835,-0.37757438
-2.7785895,0.65278107,-0.37061736
-2.8761544,0.648434,-0.37406963
-2.9732335,0.6441085,-0.37750474
-3.0061572,0.64052755,-0.37685937
-3.0389256,0.63696355,-0.37621704
-3.0461898,0.6357171,-0.36952117
-3.0534353,0.634474,-0.36284283
-3.0606601,0.6332344,-0.35618335
-3.0642774,0.6492678,-0.3653957
-3.0678768,0.6652205,-0.37456173
-3.0569816,0.6601043,-0.37582487
-3.0461383,0.6550122,-0.37708202
-3.035345,0.6499438,-0.37833333
-2.9971337,0.6369474,-0.3814731
-2.9590936,0.6240094,-0.38459876
-2.9132755,0.61979824,-0.3841946
-2.8676584,0.6156056,-0.38379225
-2.9003823,0.62293226,-0.40665272
-2.9330277,0.63024133,-0.42945817
-2.8799858,0.63034,-0.4296799
-2.8271968,0.6304382,-0.42990056
-2.774654,0.6305359,-0.4301202
-2.7729576,0.63713956,-0.42763248
-2.7712681,0.64371353,-0.42515597
-2.8042684,0.6452004,-0.4291821
-2.8371234,0.64668083,-0.43319055
-2.8264973,0.63948715,-0.43042165
-2.8159177,0.63232476,-0.42766476
-2.805383,0.6251932,-0.42491975
-2.8037343,0.63117737,-0.41951585
-2.8020892,0.6371475,-0.41412467
-2.8066773,0.6322702,-0.41572618
-2.8112457,0.6274137,-0.41732088
-2.9155624,0.61639583,-0.41994828
-3.019789,0.6053876,-0.42257342
-3.1238792,0.59439373,-0.42519513
-3.209782,0.59545887,-0.42904323
-3.2950265,0.59651595,-0.4328619
-3.3146937,0.6072492,-0.4346648
-3.3343234,0.6179623,-0.4364643
-3.3539107,0.62865216,-0.43825993
-3.3549862,0.63561445,-0.43674704
-3.3560553,0.64253193,-0.43524384
-3.332456,0.6418548,-0.4487229
-3.3089702,0.6411809,-0.46213743
-3.346336,0.65208006,-0.46682674
-3.3835306,0.6629293,-0.4714946
-3.429967,0.67011124,-0.46793348
-3.476352,0.6772852,-0.46437627
-3.4421508,0.6701063,-0.4641866
-3.408111,0.66296124,-0.46399784
-3.3742278,0.65584904,-0.46380994
-3.3776355,0.65345734,-0.4680563
-3.3810196,0.65108216,-0.47227365
-3.3725448,0.66047233,-0.47528827
-3.3641052,0.66982335,-0.47829032
-3.3629172,0.68346524,-0.5039726
-3.3617342,0.69705015,-0.52954745
-3.3605561,0.71057814,-0.5550153
-3.3242571,0.71949506,-0.5598673
-3.2880406,0.7283916,-0.5647083
-3.2728553,0.72417885,-0.5550848
-3.257712,0.71997786,-0.545488
-3.2600658,0.7156966,-0.5413265
-3.2624035,0.7114449,-0.53719383
-3.264726,0.7072211,-0.5330881
-3.269752,0.6975047,-0.5288601
